"location","source","target"
"","defaultheader.Selected_Region","Sted"
"","defaultheader.Sep","Sep"
"","defaultheader.September","September"
"","defaultheader.SiteLanguage","Annoncer på:"
"","defaultheader.State","Stat"
"","defaultheader.StayConnected","Hold forbindelsen"
"","defaultheader.Sun","Søn"
"","defaultheader.Sunday","Søndag"
"","defaultheader.TellUsYourOpinionAnswerTheSurvey","Fortæl os din mening, svar på undersøgelsen!"
"","defaultheader.TheWeb","Internettet"
"","defaultheader.Thu","Tor"
"","defaultheader.Thursday","Torsdag"
"","defaultheader.Tue","Tir"
"","defaultheader.Tuesday","Tirsdag"
"","defaultheader.UsefulInformation","Nyttig information"
"","defaultheader.UserNameHasPublishedThis","<<USERNAME>> har udgivet denne"
"","defaultheader.VoteUrl","/index.php?a=1&newpost=1"
"","defaultheader.Wed","Ons"
"","defaultheader.Wednesday","Onsdag"
"","defaultheader.Welcome","Velkommen"
"","defaultheader.WhatAreYouLookingFor","Hvad leder du efter?"
"","defaultheader.WhatWouldYouLikeToDoNext","Hvad vil du gerne gøre nu?"
"","defaultheader.WhereBuyersMeetSellers","Hvor køber og sælger mødes"
"","defaultheader.YouCanPostWithoutHavingAnAccountItIsFastAndFree","Du kan indrykke annoncer uden at have en konto. Det er hurtigt og gratis!"
"","defaultheader.YourFriendsAdsOnBrand","Din vens annonce på <<BRAND>>"
"","defaultheader.YourLastVisitedAds","Sidst besøgte annoncer"
"","defaulthtmlhead.2CharactersMinimum","Mindst 2 tegn"
"","defaulthtmlhead.Add a comment","Tilføj en kommentar"
"","defaulthtmlhead.AreYouFromCountry","Er du fra <country>?"
"","defaulthtmlhead.BidError","<<BRAND>> - Bid Submission"
"","defaulthtmlhead.BrandBehindTheScenes","<<BRAND>> Bag scenen:"
"","defaulthtmlhead.BrowseBrand","Søg i <<BRAND>>"
"","defaulthtmlhead.BuyerInformation","Køber-oplysninger"
"","defaulthtmlhead.CheckOurYoutubeChannel","Se din kanal på <<YOUTUBE>>"
"","defaulthtmlhead.CheckOutOurNewTvAd","Se vores nye tv-reklame!"
"","defaulthtmlhead.CookiesHelp","<<BRAND>> - hjælp til cookies"
"","defaulthtmlhead.Description1","Online exchange "
"","defaulthtmlhead.Description2"," offers local classified ads for jobs, auctions, for sale, real estate, services, community and events - Post your classified ad for free"
"","defaulthtmlhead.Disclaimer","Ansvarsfraskrivelse"
"","defaulthtmlhead.EntireSite","Hele sitet"
"","defaulthtmlhead.EverythingHasAValueOn_HomePage","Everything has a value on <<LINK_HOME_PAGE>>, sell it now!"
"","defaulthtmlhead.FindAdsInRealEstateForSaleJobsVehiclesAndMoreNextToYourLocation","Find annoncer for boliger, til salg, jobs, biler og andet lige i nærheden af, hvor du er."
"","defaulthtmlhead.FindOutWhoYouAreAt_HomePage","Find ud hvem du er på <<LINK_HOME_PAGE>>"
"","defaulthtmlhead.FlagItem","Rapporter genstand"
"","defaulthtmlhead.FreeClassifiedsInArea","Gratis annoncer i  <AREA>"
"","defaulthtmlhead.GeneralDescription","<AREA> tilbyder lokale annoncer for jobs, til salg, fast ejendom, tjenester, fællesskaber og begivenheder - opretdin annonce gratis"
"","defaulthtmlhead.GeneralKeywords","<AREA> , rubrikannoncer, annoncer, jobs, til salg, fast ejendom, tjenester, fællesskaber, begivenheder"
"","defaulthtmlhead.GoBackToThePreviousPage","Gå tilbage til forrige side."
"","defaulthtmlhead.HaveYouSeenThis","Har du set dette?"
"","defaulthtmlhead.HelloUsername","Hej, <<USERNAME>>"
"","defaulthtmlhead.HomeSpecialTitle","Free Classifieds ads for cars, real estate, personals, services, jobs..."
"","defaulthtmlhead.HomeTitle","Gratisannoncer i <AREA>, rubrikannoncer i <AREA> (for jobs, til salg, fast ejendom, tjenester, fællesskaber og begivenheder)"
"","defaulthtmlhead.InEveryBuyerLivesSeller","Hos hver køber lever der en sælger"
"","defaulthtmlhead.Is","er"
"","defaulthtmlhead.Keywords",", classifieds, classified ads, jobs, auctions, for sale, real estate, services, community, events"
"","defaulthtmlhead.Last","Sidste"
"","defaulthtmlhead.LinkHomePage_TvAdCampaign","<<LINK_HOME_PAGE>> tv-reklamekampagne."
"","defaulthtmlhead.ListingTitle","<CATEGORY> <AREA>"
"","defaulthtmlhead.ListingUnavailable","Denne annonce er ikke tilgængelig"
"","defaulthtmlhead.LoginTitle","Velkommen til <<BRAND>> !"
"","defaulthtmlhead.MakeSureTheWebAddressYouEnteredIsCorrect","Sørg for den indtastede webadresse er korrekt."
"","defaulthtmlhead.MoreResults","Flere resultater"
"","defaulthtmlhead.My Bids","Mine bud"
"","defaulthtmlhead.My Favorites","Mine favoritter"
"","defaulthtmlhead.My Listings","Mine annoncer"
"","defaulthtmlhead.My Messages","Mine beskeder"
"","defaulthtmlhead.MyBidsTitle","Mine annoncer"
"","defaulthtmlhead.MyFavoritesTitle","Mine annoncer"
"","defaulthtmlhead.MyListingTitle","Mine annoncer"
"","defaulthtmlhead.MyOlxTitle","Min OLX"
"","defaulthtmlhead.MyOLX_EditTitle","Annonceudgave - <<ITEM>>"
"","defaulthtmlhead.MyOLX_RenewTitle","Annoncefornyelse - <<ITEM>>"
"","defaulthtmlhead.NewUserRegistration","<<BRAND>> - Registrering af ny bruger"
"","defaulthtmlhead.OtherRelatedSites","Andre sites:"
"","defaulthtmlhead.Personal Info","Personlige oplysninger"
"","defaulthtmlhead.PersonalInformationTitle","Personlige oplysninger"
"","defaulthtmlhead.PleaseTryAgainLaterAndGoToTheHomePage","Prøv igen senere. Imens kan du måske finde det, du leder efter ved at gå tilbage til <<LINK_HOME_PAGE>>. Vi beklager ulejligheden."
"","defaulthtmlhead.PleaseTryOneOfTheFollowingOptions","Prøv en af følgende muligheder:"
