"location","source","target"
"","defaultfooter.HelpUs","Nouveau : <<BRAND>> supporte maintenant les vidéos! Publiez dès maintenant!"
"","defaultfooter.Home","Accueil"
"","defaultfooter.IntellectualPropertyProtectionServices","Services de Protection de la Propriété Intellectuelle"
"","defaultfooter.ItemDetail","Détail de l'item"
"","defaultfooter.ListingLanguage","Annonces en"
"","defaultfooter.Location","Endroit:"
"","defaultfooter.miles","Miles"
"","defaultfooter.MOBILE","Cellulaire"
"","defaultfooter.My OLX","Mon OLX"
"","defaultfooter.MyAskHT.com","My askHT.com"
"","defaultfooter.Not_You?","Ce n´est pas vous ?"
"","defaultfooter.OLX","<<BRAND>>"
"","defaultfooter.OLX Official Time","Heure officielle <<BRAND>>"
"","defaultfooter.Optional","Facultatif"
"","defaultfooter.Or","Ou"
"","defaultfooter.PopularSearches","Recherches Populaires"
"","defaultfooter.Post","Publier"
"","defaultfooter.PublishFreeAd","Publier une Annonce Gratuite"
"","defaultfooter.Region","Région"
"","defaultfooter.Register","S'inscrire"
"","defaultfooter.Register2","S'inscrire"
"","defaultfooter.Search","Chercher"
"","defaultfooter.SelectCityState","Sélectionnez une Ville/État"
"","defaultfooter.SelectCountry","Sélectionnez un Pays"
"","defaultfooter.Selected_Region","Sélectionnez une Région"
"","defaultfooter.Sign_In","Se connecter"
"","defaultfooter.Sign_In2","Se connecter"
"","defaultfooter.SiteLanguage","Annonces en:"
"","defaultfooter.sitesAssociate","Autres sites connexes:"
"","defaultfooter.State","État"
"","defaultfooter.Terms of use","Conditions d'Utilisation"
"","defaultfooter.TheWeb","Le Web"
"","defaultfooter.VoteUrl","/index.php?a=1&newpost=1"
"","defaultfooter.Welcome","Bienvenue"
"","defaultheader2.AllListings","Toutes les Annonces"
"","defaultheader2.Click","Cliquez ici"
"","defaultheader2.FreeSite","<AREA> Annonces gratuites"
"","defaultheader2.Hello","Bonjour, "
"","defaultheader2.Help","Aide"
"","defaultheader2.Home","Accueil"
"","defaultheader2.My OLX","Mon OLX"
"","defaultheader2.Not_You?","ce n'est pas vous ?"
"","defaultheader2.OLX","<<BRAND>>"
"","defaultheader2.Or","Ou"
"","defaultheader2.Post","Publier"
"","defaultheader2.PublishFreeAd","Publiez une annonce gratuite"
"","defaultheader2.Register","S'inscrire"
"","defaultheader2.Search","Chercher"
"","defaultheader2.TheWeb","Le Web"
"","defaultheader2.Welcome","Bienvenue"
"","defaultheader.'PublishFreeAd'","Bonjour"
"","defaultheader.AdvancedSearch","Recherche Avancée"
"","defaultheader.AllListings","Toutes les Annonces"
"","defaultheader.Apr","Avr"
"","defaultheader.April","Avril"
"","defaultheader.Aug","Août"
"","defaultheader.August","Août"
"","defaultheader.BackToBrandHomePage","Retourner à la Page d'Accueil d'<<BRAND>>"
"","defaultheader.BookAnOnlineAd","Book an online AD"
"","defaultheader.BrandChannel","Chaîne <<BRAND>>"
"","defaultheader.BrandFullVersion","<<BRAND>> Version Complète"
"","defaultheader.BrandNowSupportsVideosPostNow","Nouveau : <<BRAND>> supporte maintenant les vidéos! Publiez dès maintenant!"
"","defaultheader.BrowseAds","Parcourir les Annonces"
"","defaultheader.Categories","Catégories <<BRAND>>"
"","defaultheader.change","Modifier"
"","defaultheader.Cities","Villes"
"","defaultheader.ClassifiedsAndMuchMore","Des annonces et bien plus encore !"
"","defaultheader.ClassifiedsHelp","Aide pour les Annonces"
"","defaultheader.ClassifiedsHome","Pages d'Accueil des Annonces"
"","defaultheader.Click","Cliquez ici"
"","defaultheader.ClickHere","Cliquez ici"
"","defaultheader.CloseToYou","<<BRAND>> Près de chez vous"
