"location","source","target"
"","defaultheader.FriendName1IsUsingBrand","<<friendName1>> está a utilizar <<BRAND>>"
"","defaultheader.FriendsTotalUsingBrand","<<friendName1>>, <<friendName2>> e mais <<friendsTotal>> amigos estão a utilizar <<BRAND>>"
"","defaultheader.Hello","Olá, "
"","defaultheader.Help","Ajuda"
"","defaultheader.HelpUs","Novo: o <<BRAND>> aceita vídeos! Publique agora!"
"","defaultheader.Home","Início"
"","defaultheader.ItemDetail","Detalhe do artigo"
"","defaultheader.Jan","Jan"
"","defaultheader.January","Janeiro"
"","defaultheader.Jul","Jul"
"","defaultheader.July","Julho"
"","defaultheader.Jun","Jun"
"","defaultheader.June","Junho"
"","defaultheader.JustOneStep","Apenas 1 passo!"
"","defaultheader.ListingLanguage","Anúncios na língua"
"","defaultheader.Location","Localização"
"","defaultheader.M","minutos "
"","defaultheader.Mar","Mar"
"","defaultheader.March","Março"
"","defaultheader.May","Maio"
"","defaultheader.miles","milhas"
"","defaultheader.Minutes","minutos"
"","defaultheader.MOBILE","TELEMÓVEL"
"","defaultheader.Modify","Modificar"
"","defaultheader.Mon","Seg"
"","defaultheader.Monday","Segunda-feira"
"","defaultheader.My OLX","MeuOLX"
"","defaultheader.MyAdsOnBrand","Os meus anúncios em <<BRAND>>"
"","defaultheader.MyClassifieds","Os Meus Classificados"
"","defaultheader.NeverAskAgain","Não voltar a perguntar"
"","defaultheader.NewListings","Novos anúncios"
"","defaultheader.Not_You?","não é você?"
"","defaultheader.Nov","Nov"
"","defaultheader.November","Novembro"
"","defaultheader.Oct","Out"
"","defaultheader.October","Outubro"
"","defaultheader.OLX","<<BRAND>>"
"","defaultheader.Optional","Opcional"
"","defaultheader.Or","ou"
"","defaultheader.PlaceAdFree","Colocar Anúncio GRÁTIS"
"","defaultheader.PlaceAnAd","Colocar um Anúncio"
"","defaultheader.PlaceFreeAd","Colocar um Anúncio Grátis"
"","defaultheader.PopularSearches","Pesquisas mais populares"
"","defaultheader.Post","Publicar um anúncio"
"","defaultheader.PostAdFree","Publicar Anúncio GRÁTIS"
"","defaultheader.PostAFreeAd","Publicar um anúncio grátis"
"","defaultheader.PostAFreeClassifiedAd","Publicar um anúncio grátis"
"","defaultheader.PostAnAd","Publicar um Anúncio"
"","defaultheader.PostPicturesButton","Publicar imagens"
"","defaultheader.PublishFreeAd","Publicar um anúncio grátis"
"","defaultheader.Region","Região"
"","defaultheader.Register","Registar-se"
"","defaultheader.Register2","Registro"
"","defaultheader.Sat","Sab"
"","defaultheader.Saturday","Sábado"
"","defaultheader.Search","Pesquisar"
"","defaultheader.Seconds","segundos"
"","defaultheader.SelectCityState","Seleccione uma Cidade/Estado"
"","defaultheader.SelectCountry","Seleccione um País"
"","defaultheader.Selected_Region","Localização"
"","defaultheader.Sep","Set"
"","defaultheader.September","Setembro"
"","defaultheader.SiteLanguage","Anúncios em"
"","defaultheader.State","Estado"
"","defaultheader.StayConnected","Permanecer ligado"
"","defaultheader.Sun","Dom"
"","defaultheader.Sunday","Domingo"
"","defaultheader.TellUsYourOpinionAnswerTheSurvey","Dê-nos a sua opinião. Responda ao inquérito!"
"","defaultheader.TheWeb","A web"
"","defaultheader.Thu","Qui"
"","defaultheader.Thursday","Quinta-feira"
"","defaultheader.Tue","Ter"
"","defaultheader.Tuesday","Terça-feira"
"","defaultheader.UsefulInformation","Informações úteis"
"","defaultheader.UserNameHasPublishedThis","<<USERNAME>> publicou isto"
"","defaultheader.VoteUrl","/index.php?a=1&newpost=1"
"","defaultheader.Wed","Qua"
"","defaultheader.Wednesday","Quarta-feira"
"","defaultheader.Welcome","Seja Bemvinda/o"
"","defaultheader.WhatAreYouLookingFor","O que procura?"
"","defaultheader.WhatWouldYouLikeToDoNext","O que quer fazer a seguir?"
"","defaultheader.WhereBuyersMeetSellers","where buyers meet sellers"
"","defaultheader.YouCanPostWithoutHavingAnAccountItIsFastAndFree","Se quer publicar sem ter uma conta de utilizador, faça clique aqui!"
"","defaultheader.YourFriendsAdsOnBrand","Anúncios do seu amigo em <<BRAND>>"
"","defaultheader.YourLastVisitedAds","Últimos anúncios visitados"
"","defaulthtmlhead.2CharactersMinimum","Mínimo de 2 caracteres"
"","defaulthtmlhead.Add a comment","Incluir um comentário"
"","defaulthtmlhead.AreYouFromCountry","É de <country>?"
"","defaulthtmlhead.BidError","<<BRAND>> - Introduzir a Oferta"
"","defaulthtmlhead.BrandBehindTheScenes","<<BRAND>>, como foi produzido:"
"","defaulthtmlhead.BrowseBrand","Navegar <<BRAND>>"
"","defaulthtmlhead.BuyerInformation","Informa&#231;&#227;o do Comprador"
"","defaulthtmlhead.CheckOurYoutubeChannel","Veja nosso canal no <<YOUTUBE>>"
"","defaulthtmlhead.CheckOutOurNewTvAd","Pode vê-lo no nosso novo anúncio televisivo!"
"","defaulthtmlhead.CookiesHelp","<<BRAND>> - Ajuda com Cookies"
"","defaulthtmlhead.Description1","Online exchange"
"","defaulthtmlhead.Description2"," oferece anúncios classificados locais para emprego, leilões, à venda, imobiliária, serviços, comunidade e eventos. Publique grátis o seu anúncio classificado"
"","defaulthtmlhead.Disclaimer","Renúncia de responsabilidade"
"","defaulthtmlhead.EntireSite","Todo o site"
"","defaulthtmlhead.EverythingHasAValueOn_HomePage","Everything has a value on <<LINK_HOME_PAGE>>, sell it now!"
